"repo_name","language","qtd_stars","qtd_issues","qtd_pull_requests","repo_url","travis_url","ci","repo_id_travis","coverage","builds_activity","time_to_fix_broken_builds","build_health","analysis_point","forked","size","created","qtd_issues_in_period","qtd_pull_request_in_period","ci_service","analysis_init","analysis_finish","cov_service","qtd_merge_conflicts","qty_bugs_period","analysis_point_days","analysis_releases","analysis_issues","analysis_prs","qty_issues_period","qty_bugs"
"ladybirdweb/faveo-helpdesk","php",875,309,143,"https://github.com/ladybirdweb/faveo-helpdesk","https://api.travis-ci.org/repos/ladybirdweb/faveo-helpdesk",True,"6979304","39.155632","0.06801007556675064","0","0.0","2019-05-01 14:22:32-03",False,183136,"2015-04-28 04:44:25-03",5397,143,"Travis CI","2019-05-01 00:00:00-03","2020-06-01 00:00:00-03","COVERALLS",NULL,1,1464,1,1768,41,1613,153
"kubevirt/kubevirt","Go",2659,1782,0,"https://github.com/kubevirt/kubevirt","https://api.travis-ci.org/repos/kubevirt/kubevirt",True,"11341488","70.19268500000001","0.4835443037974684","563455.0","0.0963855421686747","2020-09-28 09:48:36-03",False,212162,"2016-12-16 18:24:26-03",0,1262,"Travis CI","2020-09-01 00:00:00-03","2021-10-01 00:00:00-03","BOTH",NULL,362,1381,52,2407,1659,2407,1270
"Kunzisoft/KeePassDX","Kotlin",1642,980,6,"https://github.com/Kunzisoft/KeePassDX",NULL,False,NULL,NULL,NULL,NULL,NULL,"2018-05-17 06:08:57-03",False,55880,"2017-10-17 06:08:57-03",0,0,NULL,"2018-05-01 00:00:00-03","2019-06-01 00:00:00-03",NULL,NULL,57,212,9,173,9,164,547
"jshint/jshint","JavaScript",8603,2342,835,"https://github.com/jshint/jshint","https://api.travis-ci.org/repos/jshint/jshint",True,"181815","100.0","0.13350125944584382","2525056.0","0.07339449541284404","2019-08-20 16:44:03-03",False,19525,"2011-01-19 19:28:53-03",2880,838,"Travis CI","2019-08-01 00:00:00-03","2020-09-01 00:00:00-03","COVERALLS",NULL,4,3134,5,115,54,78,244
"kofigumbs/multi","Swift",783,68,1,"https://github.com/kofigumbs/multi",NULL,False,NULL,NULL,NULL,NULL,NULL,"2020-12-17 19:01:29-03",False,16779,"2020-05-19 19:01:29-03",0,0,NULL,"2020-12-01 00:00:00-03","2022-01-01 00:00:00-03",NULL,NULL,2,212,5,28,1,28,12
"infernojs/inferno","JavaScript",14978,1347,663,"https://github.com/infernojs/inferno","https://api.travis-ci.org/repos/infernojs/inferno",True,"5913200","94.89189","0.2936708860759494","518903.0","0.1994949494949495","2018-09-09 08:09:57-03",False,36879,"2015-02-01 19:07:38-03",383,663,"Travis CI","2018-09-01 00:00:00-03","2019-10-01 00:00:00-03","COVERALLS",NULL,30,1315,42,113,32,109,274
"kingsic/SGPagingView","Objective-C",1480,201,6,"https://github.com/kingsic/SGPagingView",NULL,False,NULL,NULL,NULL,NULL,NULL,"2017-05-05 19:15:41-03",False,23746,"2016-10-05 19:15:41-03",0,0,NULL,"2017-05-01 00:00:00-03","2018-06-01 00:00:00-03",NULL,NULL,1,212,3,67,3,81,2
"paypal/PayPal-PHP-SDK","php",2080,647,50,"https://github.com/paypal/PayPal-PHP-SDK","https://api.travis-ci.org/repos/paypal/PayPal-PHP-SDK",True,"492621","71.60916","0.23232323232323232","4144878.0","0.07003891050583658","2014-10-31 18:49:13-03",False,14631,"2013-03-06 00:47:01-03",867,50,"Travis CI","2014-10-01 00:00:00-03","2015-11-01 00:00:00-03","COVERALLS",NULL,15,604,25,314,27,304,45
"Justson/AgentWeb","Java",8136,914,3,"https://github.com/Justson/AgentWeb",NULL,False,NULL,NULL,NULL,NULL,NULL,"2017-12-10 04:45:56-03",False,29418,"2017-05-12 04:45:56-03",0,0,NULL,"2017-12-01 00:00:00-03","2019-01-01 00:00:00-03",NULL,NULL,0,212,5,405,6,312,3
"wallix/awless","Go",4781,259,2,"https://github.com/wallix/awless","https://api.travis-ci.org/repos/wallix/awless",True,"12046935","41.779962","0.027848101265822784","17653165.0","0.037037037037037035","2018-06-15 07:40:41-03",False,19305,"2016-06-03 10:46:18-03",0,0,"Travis CI","2018-06-01 00:00:00-03","2019-07-01 00:00:00-03","COVERALLS",NULL,0,741,1,85,9,46,22
"jdsjlzx/LRecyclerView","Java",2459,349,3,"https://github.com/jdsjlzx/LRecyclerView",NULL,False,NULL,NULL,NULL,NULL,NULL,"2016-12-17 07:12:08-03",False,38365,"2016-05-19 07:12:08-03",0,0,NULL,"2016-12-01 00:00:00-03","2018-01-01 00:00:00-03",NULL,NULL,1,212,14,202,4,192,1
"jdkato/prose","Go",2776,50,5,"https://github.com/jdkato/prose","https://api.travis-ci.org/repos/jdkato/prose",True,"12155915","91.59664","0.11645569620253164","272438.0","0.10909090909090909","2017-04-07 20:53:07-03",False,28088,"2017-02-17 14:08:22-03",0,0,"Travis CI","2017-04-01 00:00:00-03","2018-05-01 00:00:00-03","COVERALLS",NULL,1,49,2,29,9,17,5
"jblindsay/whitebox-tools","Rust",436,146,6,"https://github.com/jblindsay/whitebox-tools",NULL,False,NULL,NULL,NULL,NULL,NULL,"2018-11-07 19:39:18-03",False,107550,"2018-04-09 19:39:18-03",0,0,NULL,"2018-11-01 00:00:00-03","2019-12-01 00:00:00-03",NULL,NULL,9,212,9,37,1,40,38
"lise-henry/crowbook","Rust",438,58,7,"https://github.com/lise-henry/crowbook","https://api.travis-ci.org/repos/lise-henry/crowbook",True,"7613899","41.997143","0.015267175572519083","0","0.0","2018-02-14 19:03:19-03",False,12586,"2016-02-18 00:02:59-03",0,0,"Travis CI","2018-02-01 00:00:00-03","2019-03-01 00:00:00-03","COVERALLS",NULL,0,727,1,6,3,9,12
"m3dev/octoparts","Scala",154,62,109,"https://github.com/m3dev/octoparts","https://api.travis-ci.org/repos/m3dev/octoparts",True,"2956394","71.90692","0.28354430379746837","243416.0","0.1487279843444227","2014-09-20 04:43:23-03",False,12672,"2014-09-04 00:01:39-03",0,0,"Travis CI","2014-09-01 00:00:00-03","2015-10-01 00:00:00-03","COVERALLS",NULL,22,16,9,171,121,174,23
"weppos/whois","Ruby",993,46,45,"https://github.com/weppos/whois","https://api.travis-ci.org/repos/weppos/whois",True,"497","88.36633","0.04040404040404041","53269059.0","0.0","2017-07-27 09:22:26-03",False,10600,"2009-06-27 09:38:44-03",45,45,"Travis CI","2017-07-01 00:00:00-03","2018-08-01 00:00:00-03","COVERALLS",NULL,3,2951,2,81,57,16,99
